backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
HBM gather op,fragment_count_sweep,0,2048,random,16384,795.38,3,0.042,4096,0.042,0.043,0.043,0.043,0,2048,random,pass,32.0,1
mapped-host gather op,fragment_count_sweep,0,1,random,65536,2.49,3,0.026,4096,0.025,0.035,0.036,0.037,0,1,random,pass,0.06,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,1,random,65536,0.26,3,0.253,4096,0.059,0.537,0.597,0.644,0,1,random,pass,0.06,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,1,random,65536,1.63,3,0.04,4096,0.04,0.043,0.043,0.043,0,1,random,pass,0.06,1
HBM gather op,fragment_count_sweep,0,1,random,65536,4.56,3,0.014,4096,0.015,0.019,0.019,0.02,0,1,random,pass,0.06,1
mapped-host gather op,fragment_count_sweep,0,8,random,65536,7.49,3,0.07,4096,0.062,0.082,0.084,0.086,0,8,random,pass,0.5,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,8,random,65536,0.08,3,6.38,4096,7.953,8.979,9.108,9.21,0,8,random,pass,0.5,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,8,random,65536,4.92,3,0.107,4096,0.111,0.118,0.119,0.12,0,8,random,pass,0.5,1
HBM gather op,fragment_count_sweep,0,8,random,65536,40.29,3,0.013,4096,0.007,0.021,0.023,0.025,0,8,random,pass,0.5,1
mapped-host gather op,fragment_count_sweep,0,32,random,65536,9.45,3,0.222,4096,0.218,0.228,0.229,0.23,0,32,random,pass,2.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,32,random,65536,0.57,3,3.661,4096,4.439,4.932,4.993,5.043,0,32,random,pass,2.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,32,random,65536,0.75,3,2.815,4096,2.437,4.899,5.207,5.453,0,32,random,pass,2.0,1
HBM gather op,fragment_count_sweep,0,32,random,65536,122.4,3,0.017,4096,0.016,0.024,0.025,0.026,0,32,random,pass,2.0,1
mapped-host gather op,fragment_count_sweep,0,128,random,65536,11.25,3,0.746,4096,0.741,0.755,0.756,0.758,0,128,random,pass,8.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,128,random,65536,0.11,3,73.744,4096,70.2,82.636,84.19,85.434,0,128,random,pass,8.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,128,random,65536,0.38,3,21.874,4096,26.993,28.201,28.352,28.472,0,128,random,pass,8.0,1
HBM gather op,fragment_count_sweep,0,128,random,65536,539.81,3,0.016,4096,0.015,0.016,0.016,0.016,0,128,random,pass,8.0,1
mapped-host gather op,fragment_count_sweep,0,512,random,65536,11.34,3,2.959,4096,2.962,2.964,2.964,2.964,0,512,random,pass,32.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,512,random,65536,0.13,3,261.908,4096,241.267,303.752,311.563,317.811,0,512,random,pass,32.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,512,random,65536,1.69,3,19.877,4096,21.563,28.139,28.961,29.619,0,512,random,pass,32.0,1
HBM gather op,fragment_count_sweep,0,512,random,65536,882.7,3,0.038,4096,0.038,0.038,0.038,0.039,0,512,random,pass,32.0,1
mapped-host gather op,fragment_count_sweep,0,2048,random,65536,9.86,3,13.618,4096,13.624,13.625,13.625,13.625,0,2048,random,pass,128.0,1
aclrtMemcpyAsync/page,fragment_count_sweep,0,2048,random,65536,0.15,3,904.099,4096,891.467,924.744,928.903,932.231,0,2048,random,pass,128.0,1
aclrtMemcpyAsync/contig,fragment_count_sweep,0,2048,random,65536,3.93,3,34.134,4096,22.137,51.016,54.626,57.514,0,2048,random,pass,128.0,1
HBM gather op,fragment_count_sweep,0,2048,random,65536,555.86,3,0.241,4096,0.241,0.243,0.243,0.243,0,2048,random,pass,128.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,4096,9.56,3,0.439,4096,0.431,0.451,0.454,0.456,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,4096,0.16,3,26.919,4096,26.98,27.315,27.357,27.391,0,1024,sequential,pass,4.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,4096,1.93,3,2.168,4096,2.027,2.405,2.453,2.491,0,1024,sequential,pass,4.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,4096,194.9,3,0.022,4096,0.017,0.028,0.029,0.031,0,1024,sequential,pass,4.0,1
